com.apple.FinalCut,___81-[NSButtonCell(NSDefaultButtonIndicatorPrivate) _appRequiresOldHeartbeatBehavior]_block_invoke,
com.apple.FinalCut,-[NSClipView _needsClipViewAncestorDidScroll],
com.apple.FinalCut,_NSWindowWindowControllerCanBeWeakDefaultValueFunction,_NSWindowWindowControllerCanBeWeak
com.apple.FinalCut,_NSViewManageLayerTreeLooselyDefaultValueFunction,-[NSView _setSuperview:]
com.apple.FinalCutPro,_NSControlAdjustRespondsToSelectorForFinalCut7DefaultValueFunction,+[NSControl initialize]
com.apple.FinalCutPro,_NSLeakWindowGraphicsContextOnCreationDefaultValueFunction,__NSCreateWindowWithOpaqueShape2
com.apple.FinalCutTrial,_NSDocumentControllerShouldAddFilePresenterDefaultValueFunction,
com.apple.FinalCutTrial,_NSWindowAllowsImplicitFullScreenDefaultValueFunction,-[NSWindow _implicitlyAllowsFullScreenPrimary]
com.apple.FinalCutTrial,___81-[NSButtonCell(NSDefaultButtonIndicatorPrivate) _appRequiresOldHeartbeatBehavior]_block_invoke,
com.apple.FinalCutTrial,-[NSClipView _needsClipViewAncestorDidScroll],
com.apple.FinalCutTrial,_NSViewManageLayerTreeLooselyDefaultValueFunction,-[NSView _setSuperview:]
com.apple.FontBook,_NSDisableAutomaticWindowTabbingDefaultValueFunction,+[NSWindow allowsAutomaticWindowTabbing]
com.apple.Keynote,_NSLessCoalescedViewDrawingDefaultValueFunction,__NSLessCoalescedViewDrawing
com.apple.LiveType,-[NSFontManager availableFontFamilies],
com.apple.Photos,_NSDisableAutomaticWindowTabbingDefaultValueFunction,+[NSWindow allowsAutomaticWindowTabbing]
com.apple.Preview,_NSApplicationStronglyReferencesOpenWindowsDefaultValueFunction,-[NSApplication _addOpenWindow:]
com.apple.Preview,_NSAllowWindowTabbingPlusButtonDefaultValueFunction,-[NSDocumentController respondsToSelector:]
com.apple.Preview,_NSEventUseSmartMagnifyAPIDefaultValueFunction,__NSEventTypeFromCGEvent
com.apple.QuickTimePlayerX,_NSNeedsSnowLeopardTitlebarButtonsDefaultValueFunction,-[NSThemeFrame _minXTitlebarWidgetInset]
com.apple.QuickTimePlayerX,_NSApplicationStronglyReferencesOpenWindowsDefaultValueFunction,-[NSApplication _addOpenWindow:]
com.apple.RemoteDesktop,_NSDisableAutomaticWindowTabbingDefaultValueFunction,+[NSWindow allowsAutomaticWindowTabbing]
